2024-06-10-11-54-42_hotel-import-format-i-2-xls, Added by- Shivam srivastava, IP Address- 122.161.52.100
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2024-06-10-11-54-42_hotel-import-format-i-2-xls.xls Copy this link to download file , Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-2. Warning: Hotel Type Keyword does not exists...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-2. Info: Hotel Email[enquiries@tsgresorts.in] is not valid...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-3. Warning: Hotel Type Keyword does not exists...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-3. Info: Hotel Email[enquiries@tsgresorts.in] is not valid...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-3. Updated: Record is updated...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-4. Warning: Hotel Type Keyword does not exists...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-4. Info: Hotel Email[enquiries@tsgresorts.in] is not valid...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-4. Updated: Record is updated...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-5. Warning: Hotel Type Keyword does not exists...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-5. Info: Hotel Email[enquiries@tsgresorts.in] is not valid...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Row No-5. Updated: Record is updated...! - 10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
Total Records List. - 4 - Success Entry(1 ), Failed Entry(0), Duplicate Entry(3)_10-06-2024 11:54am, Added by- Shivam srivastava, IP Address- 122.161.52.100
